0.5f, 0.40844727f, 0.39424133f, 0.3859024f, 0.37992096f, 0.37467957f, 0.37058973f, 0.36694717f, 0.3635292f, 0.3606987f, 
0.3581543f, 0.3557949f, 0.35350037f, 0.35145378f, 0.34950376f, 0.34771824f, 0.34606934f, 0.34442997f, 0.34293175f, 0.34151268f, 
0.34024334f, 0.33895302f, 0.3376999f, 0.33651733f, 0.33537507f, 0.33429766f, 0.33324403f, 0.33220983f, 0.33123398f, 0.33024025f, 
0.32935286f, 0.32844162f, 0.32758212f, 0.3267231f, 0.325922f, 0.3250904f, 0.32427788f, 0.32351303f, 0.32270908f, 0.32198256f, 
0.32126498f, 0.3204956f, 0.31981277f, 0.3191793f, 0.31847787f, 0.31783712f, 0.3172121f, 0.3165865f, 0.31595898f, 0.31536484f, 
0.31477928f, 0.3141923f, 0.31363583f, 0.31307554f, 0.31251717f, 0.31193852f, 0.3114066f, 0.31087494f, 0.31033182f, 0.3097992f, 
0.30928707f, 0.3087721f, 0.30826545f, 0.30775762f, 0.30725217f, 0.30677986f, 0.30631554f, 0.30583477f, 0.30536342f, 0.30490232f, 
0.3044529f, 0.30401587f, 0.3035884f, 0.303182f, 0.30273378f, 0.3023324f, 0.3019209f, 0.3015108f, 0.30107832f, 0.30066395f, 
0.30025578f, 0.29985142f, 0.29944825f, 0.2990532f, 0.29864419f, 0.29826546f, 0.2978809f, 0.2975073f, 0.2971413f, 0.29673862f, 
0.2963676f, 0.29599434f, 0.29563808f, 0.2952622f, 0.29490638f, 0.29454756f, 0.29418695f, 0.2938416f, 0.2934971f, 0.2931371f, 
0.2927792f, 0.2924552f, 0.29212284f, 0.2917738f, 0.29142022f, 0.29108334f, 0.29073668f, 0.2904055f, 0.29006863f, 0.28974438f, 
0.28942442f, 0.2890854f, 0.2887553f, 0.28842926f, 0.28812587f, 0.28780782f, 0.2874794f, 0.2871803f, 0.28687066f, 0.28656006f, 
0.28625464f, 0.28596878f, 0.2856598f, 0.28536606f, 0.28506327f, 0.2847774f, 0.28447223f, 0.28419328f, 0.2838912f, 0.283616f, 
0.2833289f, 0.28303623f, 0.28274798f, 0.282454f, 0.28216076f, 0.28187156f, 0.28158426f, 0.28128687f, 0.28102183f, 0.28074646f, 
0.28046656f, 0.28020287f, 0.27994156f, 0.2796533f, 0.2793951f, 0.2791257f, 0.2788639f, 0.2785983f, 0.27833557f, 0.2780831f, 
0.27783132f, 0.27757692f, 0.27731276f, 0.27704406f, 0.27678585f, 0.27653027f, 0.2762701f, 0.2760298f, 0.27577782f, 0.27553797f, 
0.27528572f, 0.27504116f, 0.274786f, 0.27454853f, 0.27429354f, 0.27405787f, 0.27382112f, 0.2735896f, 0.27334487f, 0.27311388f, 
0.2728858f, 0.2726553f, 0.27241552f, 0.2721877f, 0.27195168f, 0.27171636f, 0.27148688f, 0.2712639f, 0.27102083f, 0.27078685f, 
0.2705456f, 0.2703197f, 0.2700978f, 0.26986027f, 0.26963043f, 0.26939654f, 0.2691872f, 0.26896477f, 0.26874924f, 0.2685275f, 
0.26829463f, 0.26807213f, 0.2678635f, 0.26764774f, 0.2674411f, 0.26722622f, 0.2670102f, 0.26679182f, 0.26657844f, 0.2663598f, 
0.26614958f, 0.26594222f, 0.26573163f, 0.26552057f, 0.26531154f, 0.26510036f, 0.26488686f, 0.2646817f, 0.2644701f, 0.26426315f, 
0.26405907f, 0.26385164f, 0.2636509f, 0.26345253f, 0.26325572f, 0.26306033f, 0.2628653f, 0.26267004f, 0.2624712f, 0.26226425f, 
0.26205933f, 0.261858f, 0.26165557f, 0.2614571f, 0.26127386f, 0.26108122f, 0.26088142f, 0.2606966f, 0.26050752f, 0.2603221f, 
0.26011848f, 0.2599349f, 0.25975108f, 0.2595582f, 0.25937414f, 0.25918484f, 0.25898314f, 0.2588098f, 0.25863457f, 0.25846148f, 
0.25828052f, 0.2580989f, 0.25791705f, 0.25773525f, 0.25756025f, 0.25737518f, 0.2571888f, 0.2570163f, 0.25684595f, 0.2566677f, 
0.2564898f, 0.25630844f, 0.2561407f, 0.25596887f, 0.25579745f, 0.25562626f, 0.2554596f, 0.25529766f, 0.25512356f, 0.25495267f, 
0.25478476f, 0.25461793f, 0.25444728f, 0.2542829f, 0.25411987f, 0.2539484f, 0.2537801f, 0.2536131f, 0.25344467f, 0.2532812f, 
0.25312477f, 0.25295103f, 0.25279236f, 0.2526276f, 0.25246906f, 0.25231498f, 0.2521573f, 0.2520007f, 0.25185037f, 0.25169492f, 
0.25153995f, 0.25138792f, 0.25123882f, 0.2510897f, 0.25094402f, 0.25079477f, 0.25065488f, 0.25050998f, 0.25036088f, 0.25021553f, 
0.2500838f, 0.24995455f, 0.24982071f, 0.24969141f, 0.24955511f, 0.24941528f, 0.24927884f, 0.24914199f, 0.24901289f, 0.2488786f, 
0.24874145f, 0.24860442f, 0.24846491f, 0.24833488f, 0.24819747f, 0.24806386f, 0.247926f, 0.24778707f, 0.24765348f, 0.24751663f, 
0.24737483f, 0.24724174f, 0.24710464f, 0.24697077f, 0.2468369f, 0.24670386f, 0.2465651f, 0.24642372f, 0.24628997f, 0.24614763f, 
0.24600875f, 0.24587488f, 0.2457417f, 0.24560487f, 0.24547005f, 0.24534285f, 0.2452119f, 0.24507904f, 0.24493974f, 0.24480712f, 
0.24467182f, 0.24453521f, 0.24440765f, 0.244272f, 0.24414158f, 0.2440064f, 0.24387401f, 0.24373722f, 0.24360895f, 0.24347714f, 
0.2433444f, 0.24320817f, 0.24307954f, 0.24295416f, 0.24282432f, 0.24269465f, 0.24255872f, 0.24243522f, 0.24230582f, 0.2421844f, 
0.24205288f, 0.24193358f, 0.24179631f, 0.2416681f, 0.24153876f, 0.24141455f, 0.24127895f, 0.24114585f, 0.24101388f, 0.24087772f, 
0.2407486f, 0.2406159f, 0.240484f, 0.24035627f, 0.24022928f, 0.24010444f, 0.23997253f, 0.239838f, 0.23970985f, 0.23957935f, 
0.23945189f, 0.23932385f, 0.2391938f, 0.23906589f, 0.23893952f, 0.23881069f, 0.23868558f, 0.23856133f, 0.23844254f, 0.23832113f, 
0.23819613f, 0.23806548f, 0.237934f, 0.23780966f, 0.2376863f, 0.23755449f, 0.23743111f, 0.23730725f, 0.23717785f, 0.23705316f, 
0.2369219f, 0.23679383f, 0.2366679f, 0.23655081f, 0.23643076f, 0.23630726f, 0.23618495f, 0.23605555f, 0.23593032f, 0.23580551f, 
0.23568356f, 0.23556522f, 0.23544192f, 0.23531473f, 0.23519349f, 0.23506993f, 0.23494762f, 0.23481567f, 0.23469365f, 0.23457575f, 
0.23445368f, 0.23433459f, 0.2342127f, 0.23409277f, 0.23397446f, 0.23385152f, 0.2337256f, 0.23360044f, 0.23347819f, 0.23336112f, 
0.23323834f, 0.23311794f, 0.23299676f, 0.23287463f, 0.23274875f, 0.23262787f, 0.23250031f, 0.23238087f, 0.23226368f, 0.23214686f, 
0.23202598f, 0.23189759f, 0.23177671f, 0.23165333f, 0.23153214f, 0.23140454f, 0.2312895f, 0.23117149f, 0.23105371f, 0.23093504f, 
0.2308147f, 0.23069358f, 0.23058176f, 0.23046231f, 0.23034441f, 0.23022786f, 0.23011303f, 0.22999966f, 0.22987878f, 0.22976148f, 
0.22964191f, 0.229517f, 0.2294009f, 0.22928762f, 0.22916913f, 0.22904965f, 0.22892857f, 0.22881544f, 0.22869077f, 0.22857276f, 
0.22845507f, 0.22833869f, 0.22822618f, 0.2281107f, 0.22799301f, 0.22787619f, 0.22776222f, 0.22764927f, 0.22754264f, 0.22742848f, 
0.22731471f, 0.22720197f, 0.2270906f, 0.22697705f, 0.22686005f, 0.2267437f, 0.22662652f, 0.22650659f, 0.22639251f, 0.22627854f, 
0.22616518f, 0.22605467f, 0.22593856f, 0.22582471f, 0.22571643f, 0.22560102f, 0.22548258f, 0.22536671f, 0.22525352f, 0.22513485f, 
0.22502136f, 0.2249105f, 0.22479892f, 0.2246821f, 0.22457194f, 0.2244626f, 0.2243486f, 0.22424139f, 0.22413957f, 0.22402611f, 
0.22391343f, 0.22380471f, 0.22369444f, 0.22358084f, 0.22346663f, 0.22335547f, 0.2232418f, 0.22313046f, 0.22301702f, 0.222904f, 
0.22279286f, 0.222682f, 0.22256804f, 0.22245854f, 0.2223543f, 0.22224021f, 0.2221312f, 0.2220186f, 0.22190714f, 0.22179365f, 
0.22168994f, 0.22157848f, 0.22146714f, 0.22135246f, 0.22124189f, 0.22113085f, 0.22101879f, 0.22090358f, 0.22079366f, 0.22069097f, 
0.22058034f, 0.22047111f, 0.22035813f, 0.2202475f, 0.22013152f, 0.22002077f, 0.21990943f, 0.21980786f, 0.2196998f, 0.21959496f, 
0.21949154f, 0.21938443f, 0.21927571f, 0.21916017f, 0.21905851f, 0.21894956f, 0.21884096f, 0.2187348f, 0.21863341f, 0.2185266f, 
0.21841681f, 0.21831012f, 0.2182011f, 0.21808994f, 0.21798623f, 0.2178781f, 0.21777332f, 0.21766424f, 0.21755609f, 0.21744633f, 
0.21734348f, 0.21723902f, 0.21712708f, 0.2170248f, 0.21691751f, 0.21681309f, 0.21671271f, 0.21660101f, 0.21649456f, 0.2163868f, 
0.21627688f, 0.21617222f, 0.21606147f, 0.2159543f, 0.21584791f, 0.215745f, 0.21563855f, 0.21552935f, 0.2154237f, 0.21532083f, 
0.2152183f, 0.21511725f, 0.21501052f, 0.21490532f, 0.21480244f, 0.21469757f, 0.21459118f, 0.21448445f, 0.214383f, 0.21428776f, 
0.21418339f, 0.21408224f, 0.21398568f, 0.21388674f, 0.21378338f, 0.21368241f, 0.21358097f, 0.21348016f, 0.21337831f, 0.21327612f, 
0.21317181f, 0.21307528f, 0.21297069f, 0.21286708f, 0.21276808f, 0.21266818f, 0.21256647f, 0.21246433f, 0.21236521f, 0.21226884f, 
0.21216941f, 0.21206701f, 0.21197096f, 0.21186519f, 0.21176434f, 0.21166372f, 0.2115637f, 0.21146584f, 0.21136063f, 0.21126032f, 
0.21116358f, 0.2110691f, 0.21096948f, 0.2108643f, 0.21075979f, 0.2106587f, 0.21055621f, 0.21045423f, 0.21035516f, 0.21025532f, 
0.21015662f, 0.21005595f, 0.20995297f, 0.20985228f, 0.2097567f, 0.20965886f, 0.20956552f, 0.2094653f, 0.20936556f, 0.20926476f, 
0.20916569f, 0.20906138f, 0.20896494f, 0.2088634f, 0.20876807f, 0.20866543f, 0.20856738f, 0.20847121f, 0.20837879f, 0.20828244f, 
0.20818686f, 0.20809403f, 0.2079941f, 0.20789379f, 0.20780063f, 0.2077046f, 0.20760378f, 0.20750654f, 0.20740652f, 0.20731235f, 
0.20721412f, 0.20712161f, 0.20702541f, 0.20693108f, 0.2068398f, 0.20674086f, 0.20664406f, 0.20654345f, 0.20644794f, 0.20634969f, 
0.20625305f, 0.2061575f, 0.20605826f, 0.20596296f, 0.20586634f, 0.20577908f, 0.20568317f, 0.20558971f, 0.20549017f, 0.20539218f, 
0.20529515f, 0.20520186f, 0.20510393f, 0.20500994f, 0.20491064f, 0.20481846f, 0.20472956f, 0.2046386f, 0.20454189f, 0.20445096f, 
0.2043575f, 0.20426261f, 0.20416275f, 0.20406914f, 0.20397946f, 0.20388764f, 0.20380096f, 0.20369914f, 0.2036004f, 0.2035082f, 
0.20342052f, 0.20332468f, 0.20323288f, 0.20314333f, 0.20304596f, 0.20295441f, 0.2028574f, 0.20276366f, 0.20266676f, 0.20257092f, 
0.2024812f, 0.202389f, 0.20229733f, 0.20220935f, 0.2021141f, 0.2020235f, 0.2019313f, 0.2018435f, 0.20175317f, 0.20166087f, 
0.20156896f, 0.20147848f, 0.20138669f, 0.20129657f, 0.20120293f, 0.20111454f, 0.20102033f, 0.20093632f, 0.20084321f, 0.20074642f, 
0.20065588f, 0.20056343f, 0.20047498f, 0.20038354f, 0.20028985f, 0.20019639f, 0.20011485f, 0.20002288f, 0.19993824f, 0.19984376f, 
0.19975364f, 0.19965976f, 0.19957042f, 0.1994783f, 0.19938904f, 0.199297f, 0.1992066f, 0.19911575f, 0.19902873f, 0.19893897f, 
0.19884732f, 0.19875348f, 0.19866204f, 0.19857031f, 0.19848192f, 0.19839346f, 0.19830668f, 0.19821295f, 0.19812453f, 0.19803679f, 
0.197945f, 0.1978569f, 0.19776481f, 0.1976769f, 0.19758761f, 0.19750586f, 0.1974187f, 0.19733241f, 0.19723654f, 0.19714808f, 
0.1970557f, 0.19696963f, 0.19688189f, 0.1967938f, 0.19670862f, 0.19662261f, 0.19653434f, 0.19644725f, 0.19635642f, 0.19627166f, 
0.19618633f, 0.1960974f, 0.19601169f, 0.19592534f, 0.19583839f, 0.19574589f, 0.19565773f, 0.19556671f, 0.1954779f, 0.1953904f, 
0.19531035f, 0.1952188f, 0.19513184f, 0.19504271f, 0.19495249f, 0.19486845f, 0.19478106f, 0.19469523f, 0.19461092f, 0.1945225f, 
0.19443607f, 0.19435f, 0.19426823f, 0.19418329f, 0.1941024f, 0.19401258f, 0.19392323f, 0.19383276f, 0.19374983f, 0.19366866f, 
0.19358304f, 0.19349188f, 0.19340003f, 0.19331336f, 0.19323136f, 0.19314724f, 0.19305742f, 0.19296989f, 0.19288775f, 0.19280465f, 
0.1927216f, 0.19263744f, 0.19255121f, 0.19246638f, 0.19238174f, 0.19229794f, 0.1922152f, 0.19212967f, 0.19203946f, 0.19195384f, 
0.19187194f, 0.19178891f, 0.19170707f, 0.19162005f, 0.19153924f, 0.1914554f, 0.19136858f, 0.19128579f, 0.19120312f, 0.19112277f, 
0.19103676f, 0.19094992f, 0.19086885f, 0.19078487f, 0.19070154f, 0.19061854f, 0.19053751f, 0.190454f, 0.1903702f, 0.19028768f, 
